"zkrBudovy";"cisloMistnosti";"katedra";"pracoviste";"typCiselne";"typ";"kapacita";"spolecnyFond";"provozOd";"provozDo";"poznamka";"plocha";"vyskaMistnosti";"dvereCislo";"podlazi";"obec";"ulice";"cisloPopisne";"adresaBudovy";"serial";"urlMistnost";"urlBudova";"identifikatorMistnost";"identifikatorBudova"
"HB";"C3067";"FCH";"Fakulta chemicko-technologická";"5";"Laboratoø";"1";"ne";"1.1.2009";"";"";"19.0";"";"";"3";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HB";"033003067";""
"HB";"D3070";"FCH";"Fakulta chemicko-technologická";"5";"Laboratoø";"1";"ne";"1.1.2009";"";"";"19.0";"";"";"3";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HB";"033003070";""
"HB";"D3071";"FCH";"Fakulta chemicko-technologická";"5";"Laboratoø";"1";"ne";"1.1.2009";"";"";"19.0";"";"";"3";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HB";"033003071";""
"HB";"D3072";"FCH";"Fakulta chemicko-technologická";"5";"Laboratoø";"1";"ne";"1.1.2009";"";"";"20.0";"";"";"3";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HB";"033003072";""
"HB";"D3084";"FCH";"Fakulta chemicko-technologická";"5";"Laboratoø";"1";"ne";"1.1.2009";"";"";"20.0";"";"";"3";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HB";"033003084";""
"HB";"D3085";"FCH";"Fakulta chemicko-technologická";"5";"Laboratoø";"1";"ne";"1.1.2009";"";"";"18.0";"";"";"3";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HB";"033003085";""
"HB";"D3086";"FCH";"Fakulta chemicko-technologická";"5";"Laboratoø";"1";"ne";"1.1.2009";"";"";"18.0";"";"";"3";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HB";"033003086";""
"HB";"D3088";"FCH";"Fakulta chemicko-technologická";"5";"Laboratoø";"1";"ne";"1.1.2009";"";"";"18.0";"";"";"3";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HB";"033003088";""
"HB";"D5052";"FCH";"Fakulta chemicko-technologická";"5";"Laboratoø";"1";"ne";"1.1.2009";"";"";"20.0";"";"";"5";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HB";"033005052";""
"HC";"E3020";"FCH";"Fakulta chemicko-technologická";"5";"Laboratoø";"1";"ne";"1.1.2009";"";"";"19.0";"";"";"3";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HC";"033103020";""
"HC";"E3021";"FCH";"Fakulta chemicko-technologická";"5";"Laboratoø";"1";"ne";"1.1.2009";"";"";"19.0";"";"";"3";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HC";"033103021";""
"HC";"F3024";"FCH";"Fakulta chemicko-technologická";"5";"Laboratoø";"1";"ne";"1.1.2009";"";"";"19.0";"";"";"3";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HC";"033103024";""
"HC";"F3025";"FCH";"Fakulta chemicko-technologická";"5";"Laboratoø";"1";"ne";"1.1.2009";"";"";"19.0";"";"";"3";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HC";"033103025";""
"HC";"F3026";"FCH";"Fakulta chemicko-technologická";"5";"Laboratoø";"1";"ne";"1.1.2009";"";"";"20.0";"";"";"3";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HC";"033103026";""
